 Description,Coupon,Coupon Frequency,Maturity Date,Moody's Rating,S&P Rating,Expected Price,Expected Yield,Call Protected,Offering Period,Settlement Date,Attributes
"BARCLAYS BANK PLC   MTN","5.850","ANNUALLY","06/16/2051","--","--","100.000","5.850","No","UNTIL THU, 06/11 @ 11:30 A.M. ET","06/16/2026","SFP "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.625","SEMI-ANNUAL","09/01/2051","--","AA","99.331","4.670","No","OPEN ORDER PERIOD","06/30/2026","I C TE R "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.625","SEMI-ANNUAL","09/01/2053","--","AA","98.849","4.700","No","OPEN ORDER PERIOD","06/30/2026","I C TE R "
"BARCLAYS BANK PLC   MTN","5.900","ANNUALLY","06/16/2056","--","--","100.000","5.900","No","UNTIL FRI, 06/12 @ 11:30 A.M. ET","06/16/2026","SFP "
""
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The"
"spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be"
"construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security by Fidelity or any"
"third party. Data and information shown is based on information known to Fidelity as of the date it was exported and "
"is subject to change. It should not be used in place of your account statements or trade confirmations and is not "
"intended for tax reporting purposes. For more information on the data included in this spreadsheet, including any "
"limitations thereof, go to Fidelity.com. "
""
"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. "
"Custody and other services provided by National Financial Services LLC. Both are Fidelity Investment companies "
"and members SIPC, NYSE. "
""
"Date downloaded 06/02/2026 10:23 PM"
